Valor,timestamp,Dia,Mês,Ano,Hora,Minuto,datetime
1.0,2015-03-02T00:00,2,Mar,2015,0,0,2015-03-02 00:00:00
32.565,2015-03-02T01:00,2,Mar,2015,1,0,2015-03-02 01:00:00
38.347,2015-03-02T02:00,2,Mar,2015,2,0,2015-03-02 02:00:00
26.616,2015-03-02T03:00,2,Mar,2015,3,0,2015-03-02 03:00:00
17.202,2015-03-02T04:00,2,Mar,2015,4,0,2015-03-02 04:00:00
12.392999999999999,2015-03-02T05:00,2,Mar,2015,5,0,2015-03-02 05:00:00
6.1579999999999995,2015-03-02T06:00,2,Mar,2015,6,0,2015-03-02 06:00:00
1.3559999999999999,2015-03-02T07:00,2,Mar,2015,7,0,2015-03-02 07:00:00
3.673,2015-03-02T08:00,2,Mar,2015,8,0,2015-03-02 08:00:00
18.42,2015-03-02T09:00,2,Mar,2015,9,0,2015-03-02 09:00:00
10.154,2015-03-02T10:00,2,Mar,2015,10,0,2015-03-02 10:00:00
28.834,2015-03-02T11:00,2,Mar,2015,11,0,2015-03-02 11:00:00
23.997,2015-03-02T12:00,2,Mar,2015,12,0,2015-03-02 12:00:00
18.05,2015-03-02T13:00,2,Mar,2015,13,0,2015-03-02 13:00:00
22.578000000000003,2015-03-02T14:00,2,Mar,2015,14,0,2015-03-02 14:00:00
22.596,2015-03-02T15:00,2,Mar,2015,15,0,2015-03-02 15:00:00
16.293,2015-03-02T16:00,2,Mar,2015,16,0,2015-03-02 16:00:00
17.209,2015-03-02T17:00,2,Mar,2015,17,0,2015-03-02 17:00:00
14.61,2015-03-02T18:00,2,Mar,2015,18,0,2015-03-02 18:00:00
11.214,2015-03-02T19:00,2,Mar,2015,19,0,2015-03-02 19:00:00
9.229,2015-03-02T20:00,2,Mar,2015,20,0,2015-03-02 20:00:00
10.664000000000001,2015-03-02T21:00,2,Mar,2015,21,0,2015-03-02 21:00:00
12.595999999999998,2015-03-02T22:00,2,Mar,2015,22,0,2015-03-02 22:00:00
9.855,2015-03-02T23:00,2,Mar,2015,23,0,2015-03-02 23:00:00
20.222,2015-03-03T00:00,3,Mar,2015,0,0,2015-03-03 00:00:00
101.685,2015-03-03T01:00,3,Mar,2015,1,0,2015-03-03 01:00:00
90.277,2015-03-03T02:00,3,Mar,2015,2,0,2015-03-03 02:00:00
65.14699999999999,2015-03-03T03:00,3,Mar,2015,3,0,2015-03-03 03:00:00
32.295,2015-03-03T04:00,3,Mar,2015,4,0,2015-03-03 04:00:00
23.713,2015-03-03T05:00,3,Mar,2015,5,0,2015-03-03 05:00:00
13.818,2015-03-03T06:00,3,Mar,2015,6,0,2015-03-03 06:00:00
8.978,2015-03-03T07:00,3,Mar,2015,7,0,2015-03-03 07:00:00
