date,close
1/01/1966,298
2/01/1966,299
3/01/1966,297
4/01/1966,313
5/01/1966,346
6/01/1966,381
7/01/1966,408
8/01/1966,424
9/01/1966,440
10/01/1966,461
11/01/1966,501
12/01/1966,540
13/01/1966,611
14/01/1966,705
15/01/1966,779
16/01/1966,794
17/01/1966,708
18/01/1966,611
19/01/1966,544
20/01/1966,491
21/01/1966,439
22/01/1966,391
23/01/1966,365
24/01/1966,353
25/01/1966,344
26/01/1966,338
27/01/1966,369
28/01/1966,418
29/01/1966,481
30/01/1966,577
31/01/1966,649
1/02/1966,556
2/02/1966,514
3/02/1966,555
4/02/1966,781
5/02/1966,985
6/02/1966,987
7/02/1966,958
8/02/1966,1071
9/02/1966,1299
10/02/1966,1702
11/02/1966,2019
12/02/1966,1965
13/02/1966,1708
14/02/1966,1362
15/02/1966,1048
16/02/1966,833
17/02/1966,679
18/02/1966,586
19/02/1966,543
20/02/1966,518
21/02/1966,492
22/02/1966,466
23/02/1966,441
24/02/1966,423
25/02/1966,405
26/02/1966,389
27/02/1966,378
28/02/1966,371
1/03/1966,469
2/03/1966,508
3/03/1966,583
4/03/1966,678
5/03/1966,711
6/03/1966,691
7/03/1966,659
8/03/1966,651
9/03/1966,710
10/03/1966,856
11/03/1966,1235
12/03/1966,1326
13/03/1966,1095
14/03/1966,1123
15/03/1966,1237
16/03/1966,1156
17/03/1966,859
18/03/1966,603
19/03/1966,521
20/03/1966,497
21/03/1966,475
22/03/1966,460
23/03/1966,451
24/03/1966,447
25/03/1966,439
26/03/1966,429
27/03/1966,422
28/03/1966,415
29/03/1966,409
30/03/1966,405
31/03/1966,401
1/04/1966,566
2/04/1966,554
3/04/1966,546
4/04/1966,566
5/04/1966,604
6/04/1966,613
7/04/1966,629
8/04/1966,772
9/04/1966,951
10/04/1966,1049
11/04/1966,1118
12/04/1966,1148
13/04/1966,1104
14/04/1966,1069
15/04/1966,1068
16/04/1966,1049
17/04/1966,983
18/04/1966,857
19/04/1966,735
20/04/1966,676
21/04/1966,656
22/04/1966,641
23/04/1966,619
24/04/1966,597
25/04/1966,585
26/04/1966,570
27/04/1966,544
28/04/1966,529
29/04/1966,578
30/04/1966,656
1/05/1966,591
2/05/1966,568
3/05/1966,556
4/05/1966,554
5/05/1966,554
6/05/1966,560
7/05/1966,562
8/05/1966,557
9/05/1966,549
10/05/1966,537
11/05/1966,527
12/05/1966,520
13/05/1966,504
14/05/1966,485
15/05/1966,472
16/05/1966,460
17/05/1966,453
18/05/1966,451
19/05/1966,451
20/05/1966,451
21/05/1966,447
22/05/1966,443
23/05/1966,442
24/05/1966,442
25/05/1966,439
26/05/1966,435
27/05/1966,430
28/05/1966,423
29/05/1966,418
30/05/1966,417
31/05/1966,417
1/06/1966,313
2/06/1966,312
3/06/1966,309
4/06/1966,307
5/06/1966,310
6/06/1966,319
7/06/1966,341
8/06/1966,359
9/06/1966,355
10/06/1966,341
11/06/1966,331
12/06/1966,325
13/06/1966,323
14/06/1966,321
15/06/1966,320
16/06/1966,320
17/06/1966,304
18/06/1966,297
19/06/1966,301
20/06/1966,301
21/06/1966,301
22/06/1966,298
23/06/1966,295
24/06/1966,294
25/06/1966,294
26/06/1966,294
27/06/1966,294
28/06/1966,294
29/06/1966,294
30/06/1966,294
1/07/1966,263
2/07/1966,261
3/07/1966,260
4/07/1966,260
5/07/1966,260
6/07/1966,260
7/07/1966,258
8/07/1966,256
9/07/1966,254
10/07/1966,252
11/07/1966,250
12/07/1966,249
13/07/1966,248
14/07/1966,248
15/07/1966,248
16/07/1966,248
17/07/1966,248
18/07/1966,248
19/07/1966,248
20/07/1966,248
21/07/1966,248
22/07/1966,248
23/07/1966,247
24/07/1966,245
25/07/1966,243
26/07/1966,242
27/07/1966,242
28/07/1966,242
29/07/1966,239
30/07/1966,237
31/07/1966,237
1/08/1966,220
2/08/1966,220
3/08/1966,220
4/08/1966,220
5/08/1966,220
6/08/1966,220
7/08/1966,219
8/08/1966,219
9/08/1966,219
10/08/1966,219
11/08/1966,217
12/08/1966,215
13/08/1966,215
14/08/1966,215
15/08/1966,215
16/08/1966,214
17/08/1966,213
18/08/1966,213
19/08/1966,212
20/08/1966,212
21/08/1966,210
22/08/1966,208
23/08/1966,208
24/08/1966,208
25/08/1966,208
26/08/1966,208
27/08/1966,208
28/08/1966,207
29/08/1966,206
30/08/1966,206
31/08/1966,206
1/09/1966,193
2/09/1966,191
3/09/1966,191
4/09/1966,191
5/09/1966,190
6/09/1966,189
7/09/1966,189
8/09/1966,189
9/09/1966,189
10/09/1966,189
11/09/1966,189
12/09/1966,189
13/09/1966,188
14/09/1966,186
15/09/1966,184
16/09/1966,184
17/09/1966,184
18/09/1966,184
19/09/1966,186
20/09/1966,202
21/09/1966,232
22/09/1966,276
23/09/1966,301
24/09/1966,302
25/09/1966,302
26/09/1966,291
27/09/1966,258
28/09/1966,232
29/09/1966,222
30/09/1966,216
1/10/1966,286
2/10/1966,281
3/10/1966,279
4/10/1966,278
5/10/1966,281
6/10/1966,294
7/10/1966,326
8/10/1966,347
9/10/1966,346
10/10/1966,341
11/10/1966,339
12/10/1966,344
13/10/1966,354
14/10/1966,356
15/10/1966,350
16/10/1966,344
17/10/1966,340
18/10/1966,339
19/10/1966,341
20/10/1966,379
21/10/1966,432
22/10/1966,463
23/10/1966,468
24/10/1966,462
25/10/1966,455
26/10/1966,442
27/10/1966,416
28/10/1966,381
29/10/1966,355
30/10/1966,345
31/10/1966,340
1/11/1966,337
2/11/1966,330
3/11/1966,318
4/11/1966,305
5/11/1966,298
6/11/1966,303
7/11/1966,313
8/11/1966,319
9/11/1966,318
10/11/1966,313
11/11/1966,310
12/11/1966,309
13/11/1966,314
14/11/1966,320
15/11/1966,375
16/11/1966,551
17/11/1966,703
18/11/1966,581
19/11/1966,393
20/11/1966,355
21/11/1966,381
22/11/1966,400
23/11/1966,435
24/11/1966,462
25/11/1966,490
26/11/1966,531
27/11/1966,560
28/11/1966,559
29/11/1966,596
30/11/1966,694
1/12/1966,674
2/12/1966,679
3/12/1966,665
4/12/1966,641
5/12/1966,613
6/12/1966,545
7/12/1966,449
8/12/1966,377
9/12/1966,338
10/12/1966,318
11/12/1966,309
12/12/1966,307
13/12/1966,307
14/12/1966,313
15/12/1966,326
16/12/1966,343
17/12/1966,361
18/12/1966,396
19/12/1966,517
20/12/1966,591
21/12/1966,598
22/12/1966,639
23/12/1966,667
24/12/1966,649
25/12/1966,720
26/12/1966,819
27/12/1966,863
28/12/1966,867
29/12/1966,823
30/12/1966,746
31/12/1966,641
1/01/1967,687
2/01/1967,642
3/01/1967,622
4/01/1967,604
5/01/1967,583
6/01/1967,558
7/01/1967,529
8/01/1967,506
9/01/1967,485
10/01/1967,464
11/01/1967,444
12/01/1967,427
13/01/1967,415
14/01/1967,410
15/01/1967,414
16/01/1967,415
17/01/1967,407
18/01/1967,402
19/01/1967,407
20/01/1967,424
21/01/1967,458
22/01/1967,515
23/01/1967,574
24/01/1967,571
25/01/1967,520
26/01/1967,503
27/01/1967,553
28/01/1967,654
29/01/1967,793
30/01/1967,905
31/01/1967,1017
1/02/1967,789
2/02/1967,805
3/02/1967,754
4/02/1967,694
5/02/1967,623
6/02/1967,534
7/02/1967,451
8/02/1967,409
9/02/1967,408
10/02/1967,419
11/02/1967,535
12/02/1967,654
13/02/1967,579
14/02/1967,479
15/02/1967,557
16/02/1967,693
17/02/1967,766
18/02/1967,824
19/02/1967,865
20/02/1967,835
21/02/1967,671
22/02/1967,513
23/02/1967,464
24/02/1967,494
25/02/1967,551
26/02/1967,592
27/02/1967,600
28/02/1967,553
1/03/1967,639
2/03/1967,609
3/03/1967,630
4/03/1967,601
5/03/1967,539
6/03/1967,511
7/03/1967,523
8/03/1967,541
9/03/1967,548
10/03/1967,550
11/03/1967,559
12/03/1967,568
13/03/1967,569
14/03/1967,557
15/03/1967,541
16/03/1967,542
17/03/1967,571
18/03/1967,685
19/03/1967,914
20/03/1967,1065
21/03/1967,1080
22/03/1967,1074
23/03/1967,1071
24/03/1967,1041
25/03/1967,992
26/03/1967,970
27/03/1967,995
28/03/1967,1034
29/03/1967,1052
30/03/1967,1032
31/03/1967,1006
1/04/1967,828
2/04/1967,826
3/04/1967,824
4/04/1967,821
5/04/1967,820
6/04/1967,828
7/04/1967,865
8/04/1967,906
9/04/1967,930
10/04/1967,970
11/04/1967,1006
12/04/1967,976
13/04/1967,919
14/04/1967,886
15/04/1967,873
16/04/1967,849
17/04/1967,808
18/04/1967,780
19/04/1967,765
20/04/1967,759
21/04/1967,783
22/04/1967,827
23/04/1967,865
24/04/1967,894
25/04/1967,856
26/04/1967,766
27/04/1967,703
28/04/1967,680
29/04/1967,673
30/04/1967,656
1/05/1967,868
2/05/1967,818
3/05/1967,735
4/05/1967,664
5/05/1967,641
6/05/1967,616
7/05/1967,581
8/05/1967,557
9/05/1967,539
10/05/1967,524
11/05/1967,517
12/05/1967,515
13/05/1967,513
14/05/1967,511
15/05/1967,509
16/05/1967,508
17/05/1967,505
18/05/1967,497
19/05/1967,491
20/05/1967,489
21/05/1967,488
22/05/1967,485
23/05/1967,481
24/05/1967,477
25/05/1967,469
26/05/1967,461
27/05/1967,457
28/05/1967,455
29/05/1967,452
30/05/1967,446
31/05/1967,442
1/06/1967,314
2/06/1967,310
3/06/1967,308
4/06/1967,308
5/06/1967,308
6/06/1967,306
7/06/1967,305
8/06/1967,303
9/06/1967,301
10/06/1967,298
11/06/1967,295
12/06/1967,294
13/06/1967,291
14/06/1967,287
15/06/1967,283
16/06/1967,281
17/06/1967,278
18/06/1967,274
19/06/1967,269
20/06/1967,261
21/06/1967,255
22/06/1967,253
23/06/1967,250
24/06/1967,249
25/06/1967,249
26/06/1967,247
27/06/1967,245
28/06/1967,243
29/06/1967,241
30/06/1967,239
1/07/1967,229
2/07/1967,231
3/07/1967,232
4/07/1967,232
5/07/1967,232
6/07/1967,232
7/07/1967,230
8/07/1967,228
9/07/1967,228
10/07/1967,227
11/07/1967,227
12/07/1967,227
13/07/1967,226
14/07/1967,225
15/07/1967,225
16/07/1967,224
17/07/1967,223
18/07/1967,221
19/07/1967,221
20/07/1967,221
21/07/1967,220
22/07/1967,219
23/07/1967,224
24/07/1967,232
25/07/1967,238
26/07/1967,241
27/07/1967,242
28/07/1967,242
29/07/1967,242
30/07/1967,242
31/07/1967,241
1/08/1967,227
2/08/1967,228
3/08/1967,229
4/08/1967,229
5/08/1967,229
6/08/1967,227
7/08/1967,226
8/08/1967,225
9/08/1967,225
10/08/1967,225
11/08/1967,224
12/08/1967,224
13/08/1967,222
14/08/1967,221
15/08/1967,220
16/08/1967,220
17/08/1967,219
18/08/1967,219
19/08/1967,219
20/08/1967,219
21/08/1967,216
22/08/1967,214
23/08/1967,213
24/08/1967,211
25/08/1967,208
26/08/1967,207
27/08/1967,205
28/08/1967,204
29/08/1967,204
30/08/1967,204
31/08/1967,204
1/09/1967,208
2/09/1967,208
3/09/1967,208
4/09/1967,208
5/09/1967,208
6/09/1967,208
7/09/1967,208
8/09/1967,208
9/09/1967,209
10/09/1967,213
11/09/1967,223
12/09/1967,238
13/09/1967,250
14/09/1967,250
15/09/1967,247
16/09/1967,246
17/09/1967,242
18/09/1967,233
19/09/1967,220
20/09/1967,215
21/09/1967,219
22/09/1967,225
23/09/1967,232
24/09/1967,239
25/09/1967,243
26/09/1967,243
27/09/1967,243
28/09/1967,243
29/09/1967,244
30/09/1967,244
1/10/1967,284
2/10/1967,284
3/10/1967,284
4/10/1967,272
5/10/1967,251
6/10/1967,232
7/10/1967,222
8/10/1967,225
9/10/1967,243
10/10/1967,265
11/10/1967,284
12/10/1967,291
13/10/1967,277
14/10/1967,252
15/10/1967,239
16/10/1967,236
17/10/1967,236
18/10/1967,238
19/10/1967,240
20/10/1967,243
21/10/1967,245
22/10/1967,247
23/10/1967,248
24/10/1967,251
25/10/1967,258
26/10/1967,270
27/10/1967,282
28/10/1967,292
29/10/1967,302
30/10/1967,312
31/10/1967,323
1/11/1967,218
2/11/1967,230
3/11/1967,247
4/11/1967,251
5/11/1967,239
6/11/1967,242
7/11/1967,264
8/11/1967,290
9/11/1967,319
10/11/1967,358
11/11/1967,392
12/11/1967,414
13/11/1967,424
14/11/1967,422
15/11/1967,417
16/11/1967,419
17/11/1967,431
18/11/1967,448
19/11/1967,464
20/11/1967,472
21/11/1967,469
22/11/1967,456
23/11/1967,447
24/11/1967,443
25/11/1967,441
26/11/1967,439
27/11/1967,437
28/11/1967,422
29/11/1967,405
30/11/1967,397
1/12/1967,506
2/12/1967,453
3/12/1967,418
4/12/1967,406
5/12/1967,396
6/12/1967,375
7/12/1967,330
8/12/1967,291
9/12/1967,274
10/12/1967,266
11/12/1967,260
12/12/1967,256
13/12/1967,287
14/12/1967,341
15/12/1967,365
16/12/1967,393
17/12/1967,468
18/12/1967,523
19/12/1967,492
20/12/1967,445
21/12/1967,436
22/12/1967,440
23/12/1967,451
24/12/1967,511
25/12/1967,579
26/12/1967,673
27/12/1967,826
28/12/1967,1046
29/12/1967,1130
30/12/1967,1070
31/12/1967,1021
1/01/1968,1006
2/01/1968,995
3/01/1968,981
4/01/1968,949
5/01/1968,922
6/01/1968,894
7/01/1968,869
8/01/1968,853
9/01/1968,824
10/01/1968,758
11/01/1968,676
12/01/1968,601
13/01/1968,541
14/01/1968,517
15/01/1968,522
16/01/1968,513
17/01/1968,484
18/01/1968,483
19/01/1968,492
20/01/1968,478
21/01/1968,458
22/01/1968,442
23/01/1968,431
24/01/1968,427
25/01/1968,431
26/01/1968,390
27/01/1968,344
28/01/1968,363
29/01/1968,406
30/01/1968,417
31/01/1968,429
1/02/1968,432
2/02/1968,449
3/02/1968,495
4/02/1968,578
5/02/1968,626
6/02/1968,620
7/02/1968,613
8/02/1968,626
9/02/1968,645
10/02/1968,661
11/02/1968,667
12/02/1968,660
13/02/1968,643
14/02/1968,623
15/02/1968,598
16/02/1968,572
17/02/1968,550
18/02/1968,529
19/02/1968,517
20/02/1968,529
21/02/1968,559
22/02/1968,586
23/02/1968,617
24/02/1968,644
25/02/1968,656
26/02/1968,749
27/02/1968,766
28/02/1968,688
29/02/1968,655
1/03/1968,913
2/03/1968,921
3/03/1968,973
4/03/1968,1088
5/03/1968,1167
6/03/1968,1229
7/03/1968,1274
8/03/1968,1256
9/03/1968,1197
10/03/1968,1128
11/03/1968,1030
12/03/1968,924
13/03/1968,840
14/03/1968,772
15/03/1968,784
16/03/1968,893
17/03/1968,973
18/03/1968,1027
19/03/1968,1137
20/03/1968,1174
21/03/1968,1259
22/03/1968,1368
23/03/1968,1283
24/03/1968,1092
25/03/1968,917
26/03/1968,787
27/03/1968,705
28/03/1968,647
29/03/1968,607
30/03/1968,582
31/03/1968,565
1/04/1968,594
2/04/1968,582
3/04/1968,583
4/04/1968,609
5/04/1968,637
6/04/1968,708
7/04/1968,784
8/04/1968,795
9/04/1968,779
10/04/1968,743
11/04/1968,689
12/04/1968,643
13/04/1968,607
14/04/1968,575
15/04/1968,561
16/04/1968,553
17/04/1968,561
18/04/1968,585
19/04/1968,599
20/04/1968,590
21/04/1968,567
22/04/1968,550
23/04/1968,549
24/04/1968,565
25/04/1968,578
26/04/1968,571
27/04/1968,551
28/04/1968,530
29/04/1968,511
30/04/1968,497
1/05/1968,438
2/05/1968,449
3/05/1968,465
4/05/1968,470
5/05/1968,464
6/05/1968,459
7/05/1968,457
8/05/1968,449
9/05/1968,439
10/05/1968,440
11/05/1968,454
12/05/1968,466
13/05/1968,466
14/05/1968,461
15/05/1968,452
16/05/1968,444
17/05/1968,438
18/05/1968,439
19/05/1968,455
20/05/1968,469
21/05/1968,463
22/05/1968,451
23/05/1968,443
24/05/1968,436
25/05/1968,427
26/05/1968,416
27/05/1968,403
28/05/1968,394
29/05/1968,390
30/05/1968,386
31/05/1968,382
1/06/1968,317
2/06/1968,315
3/06/1968,315
4/06/1968,315
5/06/1968,315
6/06/1968,314
7/06/1968,311
8/06/1968,309
9/06/1968,306
10/06/1968,304
11/06/1968,303
12/06/1968,303
13/06/1968,303
14/06/1968,303
15/06/1968,303
16/06/1968,303
17/06/1968,303
18/06/1968,303
19/06/1968,303
20/06/1968,303
21/06/1968,303
22/06/1968,303
23/06/1968,303
24/06/1968,303
25/06/1968,303
26/06/1968,302
27/06/1968,300
28/06/1968,299
29/06/1968,298
30/06/1968,296
1/07/1968,252
2/07/1968,252
3/07/1968,252
4/07/1968,251
5/07/1968,250
6/07/1968,250
7/07/1968,250
8/07/1968,250
9/07/1968,250
10/07/1968,249
11/07/1968,247
12/07/1968,246
13/07/1968,244
14/07/1968,242
15/07/1968,241
16/07/1968,240
17/07/1968,240
18/07/1968,240
19/07/1968,240
20/07/1968,240
21/07/1968,240
22/07/1968,240
23/07/1968,240
24/07/1968,240
25/07/1968,240
26/07/1968,240
27/07/1968,239
28/07/1968,238
29/07/1968,237
30/07/1968,236
31/07/1968,236
1/08/1968,243
2/08/1968,241
3/08/1968,240
4/08/1968,240
5/08/1968,240
6/08/1968,240
7/08/1968,240
8/08/1968,240
9/08/1968,240
10/08/1968,238
11/08/1968,237
12/08/1968,236
13/08/1968,236
14/08/1968,235
15/08/1968,235
16/08/1968,235
17/08/1968,235
18/08/1968,235
19/08/1968,235
20/08/1968,235
21/08/1968,235
22/08/1968,233
23/08/1968,231
24/08/1968,230
25/08/1968,229
26/08/1968,228
27/08/1968,226
28/08/1968,226
29/08/1968,225
30/08/1968,225
31/08/1968,224
1/09/1968,236
2/09/1968,236
3/09/1968,236
4/09/1968,236
5/09/1968,233
6/09/1968,230
7/09/1968,227
8/09/1968,225
9/09/1968,224
10/09/1968,223
11/09/1968,223
12/09/1968,223
13/09/1968,223
14/09/1968,223
15/09/1968,223
16/09/1968,223
17/09/1968,223
18/09/1968,221
19/09/1968,220
20/09/1968,219
21/09/1968,219
22/09/1968,219
23/09/1968,218
24/09/1968,218
25/09/1968,218
26/09/1968,218
27/09/1968,218
28/09/1968,216
29/09/1968,214
30/09/1968,214
1/10/1968,281
2/10/1968,281
3/10/1968,281
4/10/1968,281
5/10/1968,281
6/10/1968,281
7/10/1968,281
8/10/1968,281
9/10/1968,281
10/10/1968,281
11/10/1968,281
12/10/1968,287
13/10/1968,303
14/10/1968,333
15/10/1968,357
16/10/1968,373
17/10/1968,408
18/10/1968,452
19/10/1968,464
20/10/1968,444
21/10/1968,411
22/10/1968,383
23/10/1968,365
24/10/1968,349
25/10/1968,338
26/10/1968,328
27/10/1968,324
28/10/1968,334
29/10/1968,364
30/10/1968,400
31/10/1968,412
1/11/1968,402
2/11/1968,377
3/11/1968,352
4/11/1968,335
5/11/1968,322
6/11/1968,317
7/11/1968,326
8/11/1968,335
9/11/1968,332
10/11/1968,322
11/11/1968,317
12/11/1968,359
13/11/1968,479
14/11/1968,596
15/11/1968,630
16/11/1968,580
17/11/1968,557
18/11/1968,582
19/11/1968,601
20/11/1968,618
21/11/1968,725
22/11/1968,849
23/11/1968,911
24/11/1968,1006
25/11/1968,1054
26/11/1968,1000
27/11/1968,950
28/11/1968,910
29/11/1968,824
30/11/1968,738
1/12/1968,730
2/12/1968,705
3/12/1968,744
4/12/1968,820
5/12/1968,928
6/12/1968,1110
7/12/1968,1147
8/12/1968,993
9/12/1968,904
10/12/1968,883
11/12/1968,793
12/12/1968,691
13/12/1968,637
14/12/1968,608
15/12/1968,636
16/12/1968,745
17/12/1968,816
18/12/1968,730
19/12/1968,610
20/12/1968,550
21/12/1968,523
22/12/1968,509
23/12/1968,502
24/12/1968,490
25/12/1968,486
26/12/1968,498
27/12/1968,547
28/12/1968,618
29/12/1968,614
30/12/1968,567
31/12/1968,556
1/01/1969,557
2/01/1969,655
3/01/1969,675
4/01/1969,608
5/01/1969,546
6/01/1969,519
7/01/1969,511
8/01/1969,510
9/01/1969,515
10/01/1969,529
11/01/1969,524
12/01/1969,495
13/01/1969,461
14/01/1969,436
15/01/1969,421
16/01/1969,409
17/01/1969,412
18/01/1969,427
19/01/1969,453
20/01/1969,571
21/01/1969,708
22/01/1969,787
23/01/1969,903
24/01/1969,977
25/01/1969,967
26/01/1969,908
27/01/1969,835
28/01/1969,820
29/01/1969,841
30/01/1969,814
31/01/1969,755
1/02/1969,637
2/02/1969,583
3/02/1969,518
4/02/1969,468
5/02/1969,436
6/02/1969,415
7/02/1969,400
8/02/1969,393
9/02/1969,422
10/02/1969,647
11/02/1969,881
12/02/1969,969
13/02/1969,994
14/02/1969,957
15/02/1969,870
16/02/1969,647
17/02/1969,608
18/02/1969,694
19/02/1969,658
20/02/1969,583
21/02/1969,531
22/02/1969,513
23/02/1969,541
24/02/1969,612
25/02/1969,664
26/02/1969,648
27/02/1969,592
28/02/1969,528
1/03/1969,533
2/03/1969,501
3/03/1969,483
4/03/1969,474
5/03/1969,471
6/03/1969,470
7/03/1969,472
8/03/1969,517
9/03/1969,607
10/03/1969,742
11/03/1969,855
12/03/1969,985
13/03/1969,1080
14/03/1969,1143
15/03/1969,1202
16/03/1969,1220
17/03/1969,1201
18/03/1969,1169
19/03/1969,1191
20/03/1969,1276
21/03/1969,1256
22/03/1969,1125
23/03/1969,986
24/03/1969,876
25/03/1969,806
26/03/1969,769
27/03/1969,740
28/03/1969,700
29/03/1969,649
30/03/1969,588
31/03/1969,536
1/04/1969,712
2/04/1969,697
3/04/1969,690
4/04/1969,685
5/04/1969,682
6/04/1969,680
7/04/1969,676
8/04/1969,670
9/04/1969,666
10/04/1969,668
11/04/1969,671
12/04/1969,672
13/04/1969,669
14/04/1969,662
15/04/1969,652
16/04/1969,641
17/04/1969,631
18/04/1969,620
19/04/1969,608
20/04/1969,602
21/04/1969,597
22/04/1969,586
23/04/1969,561
24/04/1969,534
25/04/1969,504
26/04/1969,473
27/04/1969,467
28/04/1969,500
29/04/1969,590
30/04/1969,676
1/05/1969,468
2/05/1969,469
3/05/1969,477
4/05/1969,524
5/05/1969,568
6/05/1969,583
7/05/1969,579
8/05/1969,541
9/05/1969,480
10/05/1969,433
11/05/1969,410
12/05/1969,401
13/05/1969,397
14/05/1969,393
15/05/1969,386
16/05/1969,380
17/05/1969,376
18/05/1969,373
19/05/1969,370
20/05/1969,363
21/05/1969,356
22/05/1969,353
23/05/1969,352
24/05/1969,352
25/05/1969,349
26/05/1969,347
27/05/1969,346
28/05/1969,346
29/05/1969,343
30/05/1969,341
31/05/1969,340
1/06/1969,377
2/06/1969,371
3/06/1969,366
4/06/1969,366
5/06/1969,371
6/06/1969,379
7/06/1969,384
8/06/1969,385
9/06/1969,386
10/06/1969,385
11/06/1969,382
12/06/1969,374
13/06/1969,364
14/06/1969,359
15/06/1969,359
16/06/1969,357
17/06/1969,353
18/06/1969,349
19/06/1969,345
20/06/1969,344
